Identifiant,Deep,Domaine,waste_type,waste_number,X,Y,geometry,commune
693,-12.3,public,droppings,4,521719.31459960726,8592577.87905818,"c(521719.314599607, 8592577.87905818)",KOUNGOU
694,21.188,prive,droppings,1,521382.94563621783,8592530.305840936,"c(521382.945636218, 8592530.30584094)",KOUNGOU
695,13.157,public,vehicle scrap,2,521254.8065453523,8592345.555999808,"c(521254.806545352, 8592345.55599981)",KOUNGOU
696,11.152,prive,solid waste,6,521221.6589204647,8592354.397860775,"c(521221.658920465, 8592354.39786077)",KOUNGOU
697,9,public,vehicle scrap,2,521205.2298474029,8592364.362828406,"c(521205.229847403, 8592364.3628284)",KOUNGOU
698,33.333,public,droppings,1,521254.69939834543,8592232.132729625,"c(521254.699398345, 8592232.13272963)",KOUNGOU
699,41.8,public,solid waste,6,521190.3400803521,8592260.103758784,"c(521190.340080352, 8592260.10375878)",KOUNGOU
700,26.686,public,droppings,1,521157.7699376985,8592335.38546805,"c(521157.769937698, 8592335.38546805)",KOUNGOU
701,20.575,public,vehicle scrap,2,521211.79114279477,8592475.742054619,"c(521211.791142795, 8592475.74205462)",KOUNGOU
702,7.95,prive,vehicle scrap,5,521188.87777902104,8592488.468758384,"c(521188.877779021, 8592488.46875838)",KOUNGOU
703,10.22,public,droppings,20,521047.09690642863,8592408.67525315,"c(521047.096906429, 8592408.67525315)",KOUNGOU
704,-2.12,public,droppings,2,520885.58889544295,8592783.677033002,"c(520885.588895443, 8592783.677033)",KOUNGOU
705,6.583,public,droppings,1,520618.3406982982,8592839.407966515,"c(520618.340698298, 8592839.40796652)",KOUNGOU
706,-3.35,public,solid waste,1,520287.9901954112,8592755.510174127,"c(520287.990195411, 8592755.51017413)",KOUNGOU
707,-2.25,public,vehicle scrap,2,520360.96907237027,8592780.52382771,"c(520360.96907237, 8592780.52382771)",KOUNGOU
708,-18.267,public,marine debris,1,520280.0353288304,8592761.93421774,"c(520280.03532883, 8592761.93421774)",KOUNGOU
709,12.8,public,droppings,1,520012.74971927,8592740.133038452,"c(520012.74971927, 8592740.13303845)",KOUNGOU
710,14.82,public,solid waste,3,520068.07771500666,8592740.551576834,"c(520068.077715007, 8592740.55157683)",KOUNGOU
711,-9.267,public,vehicle scrap,2,520260.57689145044,8592625.160627853,"c(520260.57689145, 8592625.16062785)",KOUNGOU
712,0.6,public,vehicle scrap,2,520354.9680888283,8592399.859584557,"c(520354.968088828, 8592399.85958456)",KOUNGOU
713,7.014,public,droppings,1,520539.8647416653,8592284.341645071,"c(520539.864741665, 8592284.34164507)",KOUNGOU
714,-10.98,public,vehicle scrap,3,520515.69960436085,8592343.381541764,"c(520515.699604361, 8592343.38154176)",KOUNGOU
715,-52.971,public,vehicle scrap,1,520437.5498596628,8592443.97401539,"c(520437.549859663, 8592443.97401539)",KOUNGOU
716,-7.171,public,tire waste,6,520412.3506036408,8592517.608407242,"c(520412.350603641, 8592517.60840724)",KOUNGOU
717,-12.32,public,droppings,1,520407.42830807756,8592538.196179641,"c(520407.428308078, 8592538.19617964)",KOUNGOU
718,-17.367,public,solid waste,10,520380.1340287204,8592573.163944433,"c(520380.13402872, 8592573.16394443)",KOUNGOU
719,-16.075,public,solid waste,2,520380.6876978822,8592652.87842929,"c(520380.687697882, 8592652.87842929)",KOUNGOU
720,-9.088,public,solid waste,2,520123.45585397317,8592785.415003547,"c(520123.455853973, 8592785.41500355)",KOUNGOU
721,-18.08,public,droppings,1,520110.20876714285,8592807.133294648,"c(520110.208767143, 8592807.13329465)",KOUNGOU
722,-8.333,public,vehicle scrap,1,520102.07104087685,8592820.579535296,"c(520102.071040877, 8592820.5795353)",KOUNGOU
723,-9.983,public,tire waste,3,520593.09893410915,8592258.030154537,"c(520593.098934109, 8592258.03015454)",KOUNGOU
724,32.7,public,vehicle scrap,4,520627.942408783,8592197.395490678,"c(520627.942408783, 8592197.39549068)",KOUNGOU
725,7.033,public,vehicle scrap,10,520812.29173067724,8591973.04866719,"c(520812.291730677, 8591973.04866719)",KOUNGOU
726,11.017,public,solid waste,1,520844.4179183387,8591742.914877608,"c(520844.417918339, 8591742.91487761)",KOUNGOU
727,-6.283,public,vehicle scrap,1,519639.0773670157,8592831.656470932,"c(519639.077367016, 8592831.65647093)",KOUNGOU
728,-7.6,public,solid waste,1,519628.97928165586,8592836.362230169,"c(519628.979281656, 8592836.36223017)",KOUNGOU
729,-10.75,public,solid waste,3,519555.69063935603,8592383.8780209,"c(519555.690639356, 8592383.8780209)",KOUNGOU
